id,name,X,Y
5085,28 Church Row,"526356","185638"
5097,Burger King Ltd,"538285","175511"
5112,Obica Mozzarella,"537515","180052"
5121,Leon,"530101","183235"
5124,Lutetia,"533566","180829"
5129,Amma Food Ltd,"514176","186351"
5146,Gremio de Brixton,"530987","175100"
5151,Darjeeling Express,"529254","180925"
5153,Chucs,"527013","180270"
5159,Olle,"529755","180890"
5161,Beboz,"529009","180941"
5168,Mexicasa,"538764","184118"
5186,Dum,"529463","181252"
5187,Andina,"533507","182358"
5215,Urban Meadow,"525663","180593"
5226,Falafelicious,"533553","182258"
5231,One Ashbourne Restaurant,"524794","188994"
5235,La Table Des Saveurs,"536549","183312"
5238,Dinings Sw3,"527527","179061"
5245,Zizzi,"503510","171644"
5246,Creams Cafe,"556013","186568"
5266,Caminetto,"530369","177343"
5269,K F C Ltd,"553459","190580"
5283,Natural Kitchen,"530990","180005"
5290,Tortilla,"515162","188261"
5300,Palermo Caffe & Pizzeria,"521951","162314"
5335,Honest Burgers,"538356","177664"
5366,K F C Ltd,"550307","189389"
5368,K F C Ltd,"525621","174323"
5372,itsu,"529587","182735"
5374,Leon,"523743","179970"
5375,Leon,"526662","181271"
5386,The Prince Regent,"526444","181625"
5389,West Cornwall Pasty Company,"517056","150036"
5391,West Cornwall Pasty Company,"547173","162774"
5424,The Winsor House P H & Travel Inn Brewster Fayre,"543106","181560"
5441,Nusa Kitchen,"531317","181422"
5486,Abokado,"530418","183021"
5507,The Vincent,"534704","185221"
5535,Zoblers Delicatessen,"532621","181138"
5539,Plot,"527549","171587"
5548,Pique Nique,"533395","179609"
5570,Chicken Shop,"517939","180754"
5616,Isaac Grill Ltd,"504129","171472"
5655,Five Guys,"531117","190127"
5675,Mauritian Express,"527548","171600"
5694,The New Roding,"546625","196849"
5695,Wahaca Mexican,"532242","181177"
5701,Bill's,"552963","154751"
5721,The Regent Bar & Kitchen,"528178","182352"
5755,Wrap It Up,"537812","179645"
5756,Sushi Heads,"532855","189452"
5779,Craft London,"539295","179858"
5805,Yuu Kitchen,"533799","181475"
5823,Burrito Mama,"532266","181168"
5824,Pilots Bar & Kitchen,"505126","175830"
5834,Union Viet Cafe & Restaurant,"532080","180044"
5849,Eighty Four,"533055","182551"
5853,Bona Sourdough,"535346","172821"
5855,Bubba Gump Shrimp Company,"529690","180707"
5877,Wasabi,"525558","179525"
5908,Spice of India,"511157","196185"
5926,Yo! Sushi,"518015","175172"
5934,Vadi Restaurant,"531028","190320"
5936,Frankie & Benny's,"540629","178426"
5948,Mavish Kebab,"535135","185460"
5974,Zizzi,"523440","180116"
6006,Domino's Pizza,"557906","178682"
6026,Tortilla,"527320","175443"
6093,Honest Burgers,"532675","182614"
6100,Foxlow,"531787","181989"
6139,Franco Manca,"524952","170557"
6148,The Dumpling House,"524791","189011"
6166,Frankie & Benny's,"525624","174379"
6172,Counter Vauxhall,"530400","177984"
6188,Miller & Carter,"539442","166834"
6215,Darkhorse Restaurant & Bar,"538034","185077"
6222,R M Kitchen,"543699","186643"
6239,Hyderabad House,"512050","176144"
6248,Cods Plaice,"524688","184651"
6344,Chicken Cottage,"507908","182279"
6365,Napoli Pizza,"528210","175660"
6375,Innfusion Restaurant,"509911","175563"
6382,Cinnamon,"537560","179856"
6411,Eat of Eden,"531268","175396"
6412,Lennies Sandwich Bar,"532761","182480"
6417,Blue Room Restaurant,"513831","190339"
6444,Gallery Diner,"529753","182074"
6470,Jimmys Restaurants,"539276","180097"
6506,Papa John's Ltd,"536718","184749"
6524,Firecracker Restaurant,"543910","186379"
6528,Beefeater Grill,"543621","179115"
6545,Spaghetti House Ristorante,"525864","179693"
6571,Birley Sandwiches,"531341","181367"
6641,Cabana Brasilian Barbecue,"523456","180121"
6653,The Korai-authentic Indian Cuisine,"554201","187045"
6662,Wahaca Mexican,"530850","180326"
6677,El Mexciana,"543697","186648"
6714,Tasty Jerk,"532482","166853"
6737,Mamma's Pizza,"530608","169699"
6739,Sargeant's Mess,"533707","180430"
6785,Ginger Spice,"553048","188847"
6802,McDonald's Restaurant,"536785","172059"
6811,Rossopomodoro,"525649","174466"
6833,Zen Mondo Japanese Dining,"531661","183715"
6836,Honest Burgers,"528637","184127"
6917,Maisie Thai Restaurant,"516143","167290"
6934,Pepenero Pizza,"519178","178208"
6998,Munchiez,"510476","176789"
7090,Tortilla,"518018","175171"
7136,Da Zio Giorgio Ltd,"533703","189135"
7171,Bill's,"523420","180271"
7215,The Japanese Canteen,"534928","182884"
7248,Grubs Takeaway,"527558","171597"
7289,Brewhouse & Kitchen,"531490","183158"
7313,Chozen Noodle,"542268","154677"
7322,Downtown Grill,"544096","186572"
7334,The Little Thai,"527331","185495"
7335,Golis Restaurant,"512231","179384"
7349,Nando's,"530468","178024"
7350,Nando's,"531672","180092"
7367,Temple Lounge,"537326","180585"
7380,M Y Pasta Bar,"533095","181008"
7388,Papa's Pizza & Chicken,"513528","175542"
7408,itsu,"529209","182412"
7416,itsu,"526374","181652"
7417,itsu,"531239","181558"
7418,itsu,"537652","180296"
7423,Poncho 8,"533153","180985"
7425,Stax Burgers Ltd,"529276","180896"
7427,Subway,"515264","183945"
7435,Five Guys,"523439","180142"
7468,Natura,"536905","184662"
7472,Byron Hamburgers,"526196","184795"
7490,Social Eating House,"529391","181079"
7495,Source Battersea,"527308","177192"
7496,Danangel,"526804","175057"
7499,Blacks Burgers,"520822","160886"
7508,Wagamama,"526589","191020"
7518,Byron Hamburgers,"539211","180090"
7526,Nando's,"519070","185588"
7531,The Fish Market - D & D London,"533324","181562"
7532,The Angler - D & D London,"532861","181748"
7538,K F C Ltd,"534341","196496"
7629,Perfect Taste,"538788","181344"
7654,100 Hoxton,"533276","183093"
7726,East West Fried Chicken,"536679","184754"
7729,EAT.,"526556","181417"
7799,Burger & Lobster,"532321","181122"
7802,The Agile Rabbit,"531267","175429"
7842,That's It,"530032","175608"
7860,Wasabi,"528507","181069"
7861,Wasabi,"530432","180747"
7893,Oblix,"532906","180125"
7905,Nando's,"538312","177948"
7929,McDonald's Restaurant,"511231","157343"
7940,McDonald's Restaurant,"532253","182927"
