id,average score buffer_None,economy activity_None,PM2.5_None,NOX_None,crime rate buffer_None,restaurant buffer_None,Supermarkets_Supermarkets,NightEconomy, HousingDensity ,BuilingHeights , GreenSpace , Noise,SpaceSyntax_R3000_SpaceSyntax_Choice_R3000_None,SpaceSyntax_R3000_SpaceSyntax_Intergration_R3000_None,culture final-sum_culture sum
14320,8,51.3855,0.62911,6.33258,53,1,1,1,0.574,29.95399857,,65,273634,932.60455,0
14323,8,169.3835,1.14517,10.81545,53,,,840,0.574,24.03699875,,,553849,874.81458,0
14322,8,112.98925,0.91484,8.84962,53,,,840,0.574,19.84199905,,,587327,897.81903,0
13325,7,84.05592,0.32399,2.4526,90,,,765,1.231,10.93,,,7391,621.23419,0
13324,7,110.40559,0.34206,2.32961,90,,,765,1.231,10.54,,,70194,621.23419,0
13327,7,111.26471,0.63261,5.0972,90,,,625,1.231,9.95,,,74208,618.93378,0
13326,7,39.65264,0.18185,1.41918,90,,,625,1.231,11.24,,,27732,562.05676,0
13321,7,64.39717,0.42698,3.36326,90,,,765,1.231,10.74,,,6873,575.62604,0
13320,7,49.86852,0.3352,2.64496,90,,,475,1.231,8.13,,,10525,568.51025,0
13323,7,113.4011,0.33145,2.18804,90,,,765,1.231,11.14,,,4926,604.93677,0
13322,7,106.32578,0.33434,2.26093,90,,,765,1.231,10.74,,,3345,590.41351,0
13317,7,73.47945,0.48882,3.62236,110,,,475,1.208,10.94,60,,87384,662.04205,0
13316,7,61.00818,0.25769,1.88372,110,,,475,1.208,12.43,1771,,100637,634.7002,0
13319,14,70.46706,0.47386,3.73834,200,,,475,1.208,8.13,,,32318,625.49384,0
13318,14,73.44588,0.55067,4.13603,200,,,475,1.208,10.94,,,194040,734.04895,0
13313,12,107.99722,0.37702,2.63522,208,,,475,1.679,10.6,,,186180,704.61749,0
13312,12,85.26789,0.30184,2.19569,208,,,475,1.679,10.61,,,186180,704.61749,0
13315,7,79.96227,0.27721,1.96288,110,,,475,1.208,10.42,,,17280,496.30508,0
13314,7,80.20578,0.27806,1.9686,110,,,475,1.208,10.39,,,17784,587.24634,0
13341,11,83.65594,0.6019,4.78409,148,,,355,1.604,8.29,1037,,110433,525.7655,0
13340,5,84.70744,0.67517,5.40989,42,,,320,1.604,10.75,1122,,22685,560.25562,0
13343,6,122.57982,0.55088,4.03347,106,,,355,1.008,10.09,,,16205,496.01871,0
13342,11,130.29932,0.38246,2.71944,148,,,355,1.604,10.09,,,110364,526.6394,0
13337,5,139.9112,0.5983,4.83195,84,,,375,1.804,2.61,,,3735,582.36707,0
13336,5,141.985,0.61369,4.95716,84,,,375,1.804,9.88,,65,11178,603.69464,0
13339,10,100.9239,0.72685,5.82499,126,,,320,1.804,10.21,,,109884,594.08319,0
