id,Visual1,x,y
7097,0.730957747,537214.481,179191.634
7099,0.730569005,537214.481,179171.634
7103,0.7515136,537214.481,179131.634
7107,0.743869305,537214.481,179091.634
7111,0.77025938,537214.481,179051.634
7115,0.753412485,537214.481,179011.634
7119,0.773489118,537214.481,178971.634
7123,0.740956545,537214.481,178931.634
7127,0.758301973,537214.481,178891.634
7131,0.735086977,537214.481,178851.634
7133,0.731400609,537214.481,178831.634
7135,0.755796552,537214.481,178811.634
7139,0.745933592,537214.481,178771.634
7143,0.753263533,537214.481,178731.634
7145,0.731929779,537214.481,178711.634
7149,0.734905899,537214.481,178671.634
7158,0.754534245,537214.481,178581.634
7162,0.73436445,537214.481,178541.634
7170,0.734218597,537214.481,178461.634
7174,0.730519295,537214.481,178421.634
7178,0.744689405,537214.481,178381.634
7182,0.741064847,537214.481,178341.634
7359,0.735324681,537224.481,179571.634
7407,0.730945647,537224.481,179091.634
7415,0.728097439,537224.481,179011.634
7423,0.731392264,537224.481,178931.634
7439,0.737470388,537224.481,178771.634
7461,0.747456074,537224.481,178551.634
7469,0.738628566,537224.481,178471.634
7657,0.729693294,537234.481,179591.634
7661,0.73219043,537234.481,179551.634
7669,0.74538058,537234.481,179471.634
7677,0.746284604,537234.481,179391.634
7717,0.730123043,537234.481,178991.634
7725,0.738767147,537234.481,178911.634
7733,0.734094799,537234.481,178831.634
7737,0.72992754,537234.481,178791.634
7741,0.734993994,537234.481,178751.634
7753,0.747959614,537234.481,178631.634
8060,0.750792861,537244.481,178561.634
8061,0.731939018,537244.481,178551.634
8063,0.73929584,537244.481,178531.634
8065,0.741899073,537244.481,178511.634
8068,0.743022561,537244.481,178481.634
8249,0.752746463,537254.481,179671.634
8253,0.745774567,537254.481,179631.634
8255,0.741372824,537254.481,179611.634
8257,0.738746107,537254.481,179591.634
8261,0.748148918,537254.481,179551.634
8263,0.733196497,537254.481,179531.634
8265,0.743753552,537254.481,179511.634
8271,0.745868921,537254.481,179451.634
8273,0.756750405,537254.481,179431.634
8275,0.73700434,537254.481,179411.634
8277,0.75957334,537254.481,179391.634
8279,0.730567873,537254.481,179371.634
8281,0.751532555,537254.481,179351.634
8285,0.741318226,537254.481,179311.634
8287,0.740276158,537254.481,179291.634
8289,0.751569748,537254.481,179271.634
8291,0.729975522,537254.481,179251.634
8293,0.733008862,537254.481,179231.634
8297,0.750937879,537254.481,179191.634
8301,0.729807675,537254.481,179151.634
8303,0.73733604,537254.481,179131.634
8305,0.749678671,537254.481,179111.634
8307,0.730940759,537254.481,179091.634
8313,0.7488451,537254.481,179031.634
8315,0.72854805,537254.481,179011.634
8317,0.740009725,537254.481,178991.634
8319,0.766349435,537254.481,178971.634
8321,0.75374949,537254.481,178951.634
8323,0.756336451,537254.481,178931.634
