id,NightEconomy_10m_None,HousingDensity_10m_None,GreenSpace_10m_None,BuildingHeights_10m_None,SpaceSyntax_10m_choice_ASA216_T10,Supermarkets_10m (1)_id_count,noise sum_10m_NoiseClass10m,Test_intergration_None,BuilingArea_10m_None
321,"265",1.142,,15.9389804268,,,62.5,,"46.0"
322,"265",1.142,,,,,75,,
323,"265",1.142,,,"666852",,75,862.95953,
324,"265",1.142,,,"666852",,75,837.24567,
325,"455",1.142,,,,,,,
326,"455",1.142,,,,,67.5,,
327,"455",1.142,,,"27072",,67.5,642.41986,
328,"455",1.142,,,"27072",,67.5,642.41986,
329,"455",1.142,,9.86987047952,,,67.5,,"92.0"
330,"455",1.142,,9.86987047952,,,62.5,,"100.0"
331,"455",1.142,,9.86987047952,,,62.5,,"100.0"
332,"455",1.142,,9.86987047952,,,57.5,,"100.0"
333,"455",1.142,,9.86987047952,,,62.5,,"62.0"
334,"455",1.142,,6.57123478169,,,62.5,,"100.0"
335,"455",1.142,,6.57123478169,,,62.5,,"62.0"
336,"455",1.142,,6.57123478169,,,62.5,,"25.0"
337,"455",1.142,,8.88361243875,,,57.5,,"23.0"
338,"455",1.142,,8.88361243875,"6239",,57.5,569.37982,"20.0"
339,"455",1.142,,,"108792",,57.5,615.4859,
340,"455",1.142,,,,,57.5,,
341,"455",1.142,,15.5817539877,,,,,"75.0"
342,"455",1.142,,15.5817539877,,,,,"67.0"
343,"455",1.142,,15.5817539877,,,,,"9.0"
344,"455",1.142,,15.5817539877,,,62.5,,"65.0"
345,"455",1.142,,15.5817539877,,,67.5,,"100.0"
346,"455",1.142,,15.5817539877,,,72.5,,"16.0"
347,"455",1.142,,8.49635522522,,,72.5,,"1.0"
348,"455",1.142,,8.49635522522,"205965",,72.5,652.12433,"18.0"
349,"455",1.142,,,"205965",,72.5,652.12433,
350,"455",2.458,,,"42495",,72.5,652.12433,
351,"455",2.458,,,"42495",,72.5,652.12433,
352,"455",2.458,,,"168807",,72.5,606.86987,
353,"455",2.458,,,"168807",,72.5,606.86987,
354,"455",2.458,,,"168807",,72.5,606.86987,
355,"2",2.458,,,"168807",,72.5,606.86987,
356,"2",2.458,,,"168807",,72.5,606.86987,
357,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"5.0"
358,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"15.0"
359,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"26.0"
360,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"36.0"
361,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"47.0"
362,"2",2.458,,5.38468607949,"179805",,72.5,587.2511,"56.0"
363,"2",2.458,,5.38468607949,"179805",,,587.2511,"1.0"
364,"2",2.458,,,"179805",,,587.2511,
365,"2",2.458,,,"179805",,,587.2511,
366,"2",2.458,,,"179805",,,587.2511,
367,"2",2.458,,,"166033",,,587.2511,
368,"2",2.458,,,"166033",,72.5,548.27631,
369,"2",2.458,,,"16084",,72.5,485.86993,
370,"2",2.458,,,"16084",,72.5,485.86993,
371,"2",2.458,,,"16084",,72.5,485.86993,
372,"2",2.458,,,"16084",,72.5,485.86993,
373,"2",2.458,,,"10305",,72.5,508.70938,
374,"2",2.458,,,,,72.5,,
375,"2",2.458,,,,,62.5,,
376,"2",2.458,,3.58420006679,,,62.5,,"18.0"
377,"2",2.458,,,"5715",,62.5,434.60056,
378,"2",2.458,,,,,62.5,,
379,"2",2.458,,,,,62.5,,
380,"2",2.458,,,"9693",,62.5,407.31216,
381,"2",2.458,,,"9693",,62.5,407.31216,
382,"2",2.458,,,"1011",,62.5,407.31216,
383,"2",2.458,,,"156240",,62.5,448.11481,
384,"2",2.458,,,"156240",,62.5,448.11481,
385,"2",2.458,,,,,,,
386,"2",2.458,,,,,62.5,,
387,"2",2.458,,,,,62.5,,
388,"2",2.458,,,,,62.5,,
389,"2",2.458,,,,,62.5,,
390,"2",2.458,,,,,62.5,,
391,"2",2.458,,,,,57.5,,
392,"2",2.458,,,,,57.5,,
393,"2",2.458,,,,,57.5,,
394,"2",2.458,,,,,57.5,,
395,"2",2.458,,,,,57.5,,
396,"2",2.458,,,,,57.5,,
397,"2",2.458,,,,,57.5,,
398,"2",2.458,,,,,57.5,,
399,"2",2.458,,,,,57.5,,
400,"2",2.458,,,,,57.5,,
401,"2",2.458,,,,,57.5,,
402,"2",2.458,,,,,57.5,,
403,,2.458,,,,,57.5,,
404,,2.458,,,,,57.5,,
405,,2.458,,,,,57.5,,
406,,2.458,,,,,57.5,,
407,,2.458,,,,,57.5,,
408,,2.458,,,,,57.5,,
409,,2.458,,,,,57.5,,
