code,name,half_densi,air pollution_CO2_all_2019_s,air pollution_NOX_all_2019_s,air pollution_PM25_all_2019_s,BuildingHeights_LSOA_MEAN_mean_mean,GreenSpace_LSOA_Area,flow LSOA_None,HousingDensity_LSOA_Density,population density LSOA_density,restaurants_restaurants,supermarkets_supermarkets,culture LSOA sum_sum,noise LSOA_None
E01002248,Havering 017C,747,38574.63655,57.212108,6.439254,4.792369,261.71,12071.75,0.003782675,26.1,6,0,0,72.5
E01002249,Havering 017D,1220,55992.43932,89.26431,10.687577,5.12544,261.71,17753.41176,0.003324467,33.3,1,0,0,80
E01002250,Havering 017E,892,72642.93815,108.318507,11.099917,2.823436,17430.61,13533.58333,0.001597952,14.6,0,0,0,80
E01002251,Havering 017F,733,31979.51158,48.533339,5.681753,5.257288,98582.25,16570,0.002250362,43.9,0,0,0,72.5
E01002253,Havering 019A,780,34386.93112,51.292911,4.931011,0,1807.54,3101.083333,0.000484392,15,0,0,0,67.5
E01002254,Havering 019B,811,35413.96199,45.012002,7.024551,0.442008,1807.54,4599.357143,0.000790631,28.7,3,1,0,
E01002255,Havering 022A,755,21940.9365,23.269423,4.566121,4.223755,378985.46,861,0.000886673,25.1,0,0,0,57
E01002256,Havering 018B,760,6505.287119,5.354875,1.028647,0,3.78,7512,0.001502152,53.6,0,0,0,
E01002257,Havering 019C,857,32486.24899,33.930235,7.736596,2.29201,34619.01,1325,0.000873323,22.7,0,0,0,
E01002258,Havering 018C,860,18965.74331,23.176683,2.698616,0,521.56,6079.333333,0.001120662,55.7,2,0,0,
E01002260,Havering 026A,789,51823.85596,69.249545,9.01708,5.336129,28933.65,16330.92308,0.002696905,13.8,0,0,0,67.5
E01002261,Havering 026B,861,20345.21495,23.756599,3.296557,5.624911,3493.05,3972.5,0.002696905,79.7,6,2,0,
E01002262,Havering 026C,832,14240.14269,18.024485,2.408977,5.904326,,2223.48,0.003293219,72.8,0,0,0,67.5
E01002263,Havering 026D,836,37428.1466,40.962932,5.717512,5.432157,5006.4,423,0.00380836,18.8,1,0,0,
E01002264,Havering 026E,758,19842.28767,21.410815,3.220313,5.932954,371.63,235.625,0.003503974,72.8,0,0,0,
E01002265,Havering 025A,756,29578.51487,31.455668,4.574225,5.730207,525.33,522.8666667,0.003292115,28.6,2,1,0,
E01002266,Havering 027A,745,25107.5013,30.594012,4.250496,5.668294,2481.97,5562.529412,0.00329923,41.8,2,1,0,67.5
E01002267,Havering 027B,859,8097.626491,8.715111,1.313626,6.121406,3575.28,167.2727273,0.003727821,80,0,0,0,
E01002268,Havering 010A,704,33827.26538,45.48154,4.671632,5.10009,46965.22,14361.4,0.002301868,15.9,0,0,0,80
E01002269,Havering 010B,902,32941.45278,45.095189,4.493066,4.635811,12458.99,12685.58333,0.001229618,23.2,0,1,0,80
E01002270,Havering 015A,854,60230.94463,72.817474,8.938387,5.184915,6417.84,2905,0.00264018,24.7,0,0,0,
E01002271,Havering 015B,774,22494.11878,27.89052,2.968469,4.683961,,2150.555556,0.001246403,27.2,0,0,0,
E01002272,Havering 014A,665,22719.17309,25.78956,3.20094,4.968071,,5893,0.00236304,58.5,4,1,0,
E01002273,Havering 015C,676,30124.18183,34.561087,4.380372,0.14303,378985.46,947.7272727,0.000956178,16.3,2,0,0,
E01002274,Havering 014B,837,21452.37403,26.361455,3.581226,5.146589,6417.84,4005.111111,0.001625673,53.3,1,1,0,
E01002275,Havering 015D,657,31538.77716,35.220246,4.985143,1.401567,,1471,0.001049874,31.6,1,0,0,
E01002278,Havering 001B,854,13649.017,14.203029,2.234988,6.005211,,4592.727273,0.003220766,,0,0,0,
E01002279,Havering 002B,849,8305.825455,9.026188,1.458329,6.032043,35341.85,335,0,,0,0,0,57
E01002280,Havering 004A,802,8572.249371,8.838806,1.271775,6.032012,,4096,0.002080398,,0,0,0,
E01002281,Havering 002C,864,28816.77423,37.835383,5.395788,6.313825,2860.8,2613.933333,0.003641126,39.6,4,0,0,
E01002282,Havering 004B,823,34673.68973,39.575177,6.112741,6.230575,1718.1,3480.384615,0.003553514,57.5,2,3,1,
E01002283,Havering 002D,810,20510.94877,28.809195,3.937459,6.010383,1566.44,5447.705882,0.000842268,66.9,0,0,0,67.5
E01002284,Havering 004C,980,34673.68973,39.575177,6.112741,5.882455,,7205.583333,0.003797431,67.4,0,1,0,
E01002285,Havering 025B,620,31589.38646,35.51201,5.022895,5.017909,40.42,673.125,0.002755651,27.2,2,1,0,
E01002286,Havering 025C,820,29140.60426,30.713231,4.504986,5.699423,,,0.002931212,69.6,0,0,0,
E01002287,Havering 023A,782,19339.05669,20.017659,2.976953,5.783627,,0,0.003044115,69.2,5,0,0,
E01002288,Havering 025D,789,13228.0771,14.619308,2.085181,5.577543,182.35,758,0.002374058,45.5,0,0,0,
E01002289,Havering 022B,841,19557.33307,22.977357,4.134736,4.312326,16747.9,11596,0.002671736,59.4,4,1,0,72.5
E01002290,Havering 025E,770,31589.38646,35.51201,5.022895,4.920322,,2663,0.002686748,54.4,0,0,0,
E01002291,Havering 023B,830,28097.53656,30.937555,4.291625,4.887191,,1054.75,0.002694336,52.2,3,0,0,
E01002292,Havering 022C,769,28145.28492,31.677821,5.680728,4.286321,1568.86,1418,0.002683825,44.6,1,0,0,
E01002293,Havering 007A,852,48826.78984,67.634345,8.494027,5.822426,4766.46,22941.45714,0.003519951,23.1,7,2,0,80
E01002294,Havering 007B,750,30988.2143,45.737102,4.704929,4.559317,3454.08,5924.684211,0.000377994,12.1,0,0,0,
E01002295,Havering 010C,832,36249.76397,53.925037,5.680771,5.731712,5285.6,15945.86667,0.001680447,56,0,0,0,80
E01002297,Havering 004D,809,21024.67273,25.372148,3.877753,6.4319,,13787,0.0026353,68.3,1,0,0,
E01002298,Havering 007D,788,33916.14389,47.162917,6.075983,4.941333,21.64,9998.333333,0.001441873,33.9,0,0,1,80
E01002299,Havering 002E,923,21591.86175,28.884535,3.844652,6.250619,27960.22,17884,0.003358422,51,0,0,0,80
E01002300,Havering 007E,857,24490.14662,33.066348,4.335299,5.542635,5339.56,11186.18182,0.002597916,48.1,0,0,0,80
E01002301,Havering 003A,773,17529.16926,16.729017,2.865645,5.173326,11090.63,12855,0.00247861,56.9,0,0,0,
E01002302,Havering 005A,829,17529.16926,16.729017,2.865645,5.778789,11090.63,11745.58333,0.002306848,54.6,5,1,0,
E01002303,Havering 003B,1088,14284.41961,14.227186,2.44787,5.916064,3277.82,7466.055556,0.002045748,71.4,2,0,0,
E01002305,Havering 005B,759,15110.44123,17.070506,2.515654,4.846767,287748.42,,0.000284447,5.5,0,0,0,
E01002306,Havering 003D,798,12322.03875,11.535031,2.022413,6.147272,,,0.00123356,89.2,0,0,0,
E01002307,Havering 003E,876,22696.76351,21.739242,3.604246,6.287825,287748.42,,0.00210865,70.2,0,0,0,
E01002308,Havering 005C,843,14345.63921,18.618877,2.428859,4.524348,24259.4,,0.000556564,36,0,0,0,
E01002309,Havering 006A,830,34786.36535,50.131056,5.856808,4.54061,535.23,13887.33333,0.001287955,55.3,0,0,0,
E01002310,Havering 006B,895,24336.64322,34.567997,4.158727,5.65205,,20736.34615,0.001776016,59.6,4,1,0,80
E01002311,Havering 006C,897,60266.51177,83.546985,10.162645,5.410683,399.19,18865.85714,0.002192179,18.1,0,0,0,80
E01002312,Havering 001C,720,12537.60692,16.691582,2.297536,4.125945,6289.75,8780.692308,0.000250518,,1,0,0,
E01002313,Havering 001D,825,23690.27983,26.831103,4.070602,3.83228,,6971.1875,0.00088466,38.8,0,0,0,
E01002314,Havering 004E,859,18511.9706,19.498328,2.952753,5.476916,143.89,5553.142857,0.00385053,88,0,0,0,
E01002315,Havering 006D,840,13479.63106,14.506688,2.347076,5.330353,1560.09,13158,0.00318984,70.3,1,0,0,
E01002316,Havering 004F,799,9939.721231,10.659522,1.680978,6.213168,,13682.16667,0.003447165,62.9,2,0,0,
E01002317,Havering 014C,773,44652.77623,52.266461,6.879182,5.172499,2083.04,1187.555556,0.003017781,41.1,0,0,0,
E01002318,Havering 014D,835,32350.28419,38.393639,5.185387,4.887273,37801.79,7584.090909,0.002689147,54.1,0,0,0,67.5
E01002319,Havering 016A,813,30031.59031,39.384157,5.158138,5.715035,4993.72,17321.90625,0.002093847,42.3,5,1,0,80
E01002320,Havering 021A,783,10897.91016,12.032184,1.604161,5.833625,5908.92,10118.71429,0.001911355,72.7,0,0,0,67.5
E01002321,Havering 021B,837,37840.22298,42.904586,6.093855,4.842931,158.43,15806.84211,0.002006058,36.1,8,2,0,67.5
E01002322,Havering 021C,996,23618.81426,27.114764,3.533136,4.361194,2942.82,18529,0.002826408,45.4,0,0,0,80
E01002323,Havering 021D,833,38068.54952,50.091744,6.444903,5.41824,4993.72,19668.57143,0.002717271,57.1,0,0,0,80
E01002324,Havering 021E,736,26804.52999,28.459869,4.019773,5.176463,1486.99,,0.002319956,30.9,0,0,0,
E01002325,Havering 011C,899,22612.4409,27.666198,3.680425,5.796996,674.15,3933.1875,0.002925033,22.6,3,1,0,
E01002326,Havering 005D,780,35391.19364,37.222654,5.91457,5.388595,1520.94,8582.047619,0.002972457,54.2,11,1,1,
E01002327,Havering 009A,747,17862.02438,20.493637,3.048924,5.017325,3116.78,260.2857143,0.002945644,52.5,0,0,0,
E01002328,Havering 009B,849,39848.33127,54.689477,7.251035,5.511688,1634.7,16224.91667,0.002847159,58.9,0,0,0,80
E01002329,Havering 011D,841,28719.83497,42.020614,5.267303,5.255591,615.75,14150.28,0.002492612,43,3,1,0,80
E01002330,Havering 011E,938,31432.16619,52.50817,5.81424,4.983487,,38723,0.002417256,35.7,0,1,0,80
E01002331,Havering 005E,800,20946.88161,29.186126,3.534876,4.416652,1925.89,8352,0.002546932,50.9,0,0,0,
E01002332,Havering 009C,816,28657.66556,29.397879,4.849378,5.108069,3116.78,11846.875,0.002887129,58.5,0,0,0,
E01002333,Havering 008A,653,35887.11175,42.491893,6.126187,5.15191,2724.07,3889,0.002924446,48.1,1,1,0,
E01002334,Havering 008B,868,51221.24847,70.198948,8.450578,4.886537,150783.49,21811.875,0.00044044,17.2,0,0,0,80
E01002335,Havering 009D,739,11128.4963,12.668863,1.983733,5.223683,2806.25,863.8181818,0.002953602,69.4,0,0,0,
E01002336,Havering 008C,770,21602.69215,28.264707,3.678317,4.767575,,4949.3125,0.002944619,58.4,2,0,0,80
E01002337,Havering 012A,647,57325.76091,85.973418,9.19937,5.323964,3494.47,25950.66667,0.001143177,11.6,2,0,0,80
E01002338,Havering 009E,716,36134.53964,51.381804,6.633924,5.020275,2806.25,19558.66667,0.002550558,56.3,2,0,0,80
E01002339,Havering 008D,810,61679.37041,86.135011,10.628977,5.183675,150783.49,10784,0.001329995,40.4,0,0,0,
E01002340,Havering 009F,701,40033.87618,56.661472,7.125794,5.257859,,25466.45455,0.001503695,58.1,0,0,0,80
E01002341,Havering 008E,682,24758.61546,29.82303,4.142454,5.333816,85475.3,6604.5,0.000317859,56.4,0,0,0,
E01002342,Havering 030A,809,26074.30369,39.850478,3.586452,5.078737,2574.02,7879.166667,0.000943181,86.7,3,0,0,80
E01002343,Havering 029A,890,22973.15058,29.795738,3.502708,4.688053,12717.68,5052.1,0.001645106,35.4,1,0,0,80
E01002345,Havering 030B,858,25805.12359,42.773476,3.582073,5.417541,728.57,20191.95238,0.000628096,38,13,1,1,80
E01002346,Havering 030C,780,19751.40137,32.237862,2.761907,5.481218,7378.87,15264,0.004094403,72.3,1,0,0,
E01002347,Havering 030D,735,12898.13913,23.16046,1.62687,4.82902,10811.83,10872,0.000141008,31.6,0,0,0,57
E01002349,Havering 029D,753,13634.84673,16.234521,1.878617,4.510224,,,0.000479527,26,0,0,0,
E01002350,Havering 016B,797,32061.46289,57.195461,7.173318,5.78463,,11708.01852,0.004074243,54.3,2,0,0,80
E01002351,Havering 016C,833,55261.86509,83.100467,10.471274,5.321849,67966.5,3709,0.00407386,80.8,5,0,0,
E01002352,Havering 016D,936,31335.34705,49.448424,6.200716,5.578348,67966.5,8182.454545,0.003081465,56.5,0,0,0,
E01002353,Havering 013B,1060,60607.51877,95.833332,11.362552,5.46882,3628.33,21747.69231,0.001393306,43.7,10,1,0,80
E01002354,Havering 012B,688,25544.83077,34.753207,3.995054,5.574904,1225.52,15826.45455,0.002072889,44.2,2,0,0,67.5
E01002355,Havering 014E,747,23473.79042,27.750517,3.502395,5.429277,,1782.142857,0.002338531,64.3,0,0,0,
E01002356,Havering 013C,1194,31702.13889,51.840723,6.22049,6.619135,1403.13,14445.81818,0.001934265,58.7,42,5,1,80
E01002358,Havering 016E,1037,31335.34705,49.448424,6.200716,5.120413,,10804.8,0.00391124,78.1,3,0,2,80
E01002359,Havering 020A,655,19571.57742,23.211985,3.559648,2.613973,30740.56,783,0.001451882,58.1,0,0,1,
E01002360,Havering 020B,754,19237.47791,21.687296,3.178893,5.184959,16731.66,5893.387097,0.002944434,37.1,4,0,0,72.5
